offered_rate_req_s,num_requests,num_completed,measured_throughput_req_s,ttft_mean_ms,ttft_p50_ms,ttft_p99_ms,decode_latency_mean_ms,prefill_step_time_mean_ms,mixed_step_time_mean_ms,num_pure_prefill_steps,num_pure_decode_steps,num_mixed_steps,pct_wall_time_prefill_or_mixed,e2e_latency_mean_s,num_steps,gpu_sm_util_avg_pct
0.5,14,14,0.5102840301971204,163.7415476428308,43.49342399996203,1623.2473749998917,24.707216629628277,108.24995800003023,41.84125583337087,8,621,6,6.786340685752706,1.6751324404999974,635,41.4375
1.0,30,30,1.0187503293358764,141.08418793332476,57.03778700001294,2042.4648169999955,25.418086537707456,77.2620013333191,56.44515633333924,6,1021,24,6.547525259235244,2.1291527699333113,1051,62.28125
2.0,61,61,1.309312546693352,2714.8557445737656,54.01583100001517,27140.907193999963,24.998867907375303,97.69682449998527,60.56318752941666,10,1695,51,8.754949025577913,4.660767971065574,1756,74.04166666666667
4.0,136,136,2.257304934624773,3612.8300865661727,75.67513700007567,38494.07393599995,24.643773830225992,105.02129392854646,73.92833603478364,14,2038,115,16.565960401251033,5.576715373764705,2167,80.36065573770492
8.0,253,253,2.804803616973054,8998.025502901188,4633.555658999967,59940.47456999999,25.44558838096915,106.48294199999953,90.11815733014521,24,2701,209,23.73564762559725,11.497309791118578,2934,80.3076923076923
16.0,495,495,2.789346006942497,32355.161784317188,23473.531186999935,140315.51191300014,25.546155863387103,107.86658905453184,93.21466850000326,55,5263,396,24.16630447071142,34.96576257504446,5714,78.95505617977528
32.0,981,981,2.816788670976184,80144.48352012644,70036.00125700019,307872.189404,25.51138850752438,107.17265259259639,98.27508423371461,108,10169,783,25.44164492777546,82.74269306103368,11060,80.70689655172414
