offered_rate_req_s,num_requests,num_completed,measured_throughput_req_s,ttft_mean_ms,ttft_p50_ms,ttft_p99_ms,decode_latency_mean_ms,prefill_step_time_mean_ms,mixed_step_time_mean_ms,num_pure_prefill_steps,num_pure_decode_steps,num_mixed_steps,pct_wall_time_prefill_or_mixed,e2e_latency_mean_s,num_steps,gpu_sm_util_avg_pct
0.5,14,14,0.5059727685205885,253.9665459285873,44.65329700008169,2075.850824999975,27.00115367001961,286.9710975000051,52.114525374989285,6,597,8,11.713726803985164,1.92972373585714,611,35.5
1.0,30,30,1.0109051959060753,244.57076736667508,47.82592800006569,4884.77259299998,27.817422168624958,149.57838449998917,66.28964850000767,4,937,26,8.179319038993187,2.382300949466666,967,60.54545454545455
2.0,61,61,1.5778635934663685,774.8467045081926,68.18095100004484,12843.288014999984,27.280592338330887,166.787429399983,90.00218175001099,5,1200,56,15.213525410322504,3.1158060660327913,1261,65.36585365853658
4.0,136,136,2.8852677572615817,933.398012051478,113.72395700004745,36185.84740300002,28.159512938513927,200.37816600000724,125.57930464150421,4,1171,106,29.97155600368645,3.8756611049999976,1281,75.29166666666667
8.0,253,253,3.9164625992087867,8348.769343691692,8357.231089999914,35433.338406000075,28.98046221966094,209.0481994000129,179.2355708445628,5,997,193,55.225520767399104,13.756923089747026,1195,83.8
16.0,495,495,4.097345544553216,32342.283376026244,29857.90226599988,97564.00215300005,28.889412563959034,219.3343755713743,204.6169381697645,7,1454,377,65.19322854635742,38.552252067054546,1838,87.8099173553719
32.0,981,981,3.963876008961485,81903.12288063414,81767.71111900007,209597.98216900002,29.390757185934703,233.60059294998337,208.62786878551736,20,2958,746,64.83754328658426,88.11430997957395,3724,86.74898785425101
64.0,1927,1927,4.070764402149541,181162.77037749195,183671.7081479999,412781.95198899996,29.76582911843769,237.0696880000001,205.29218469872328,35,5353,1487,66.30675885714949,187.3038625539949,6875,87.19148936170212
